title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,url,categoryName,address,location,latitude,longitude,prices
Tokyo Tower,4.5,94176,4 Chome-2-8 Shibakoen,Minato,Tokyo,JP,https://www.tokyotower.co.jp/,+81 3-3433-5111,Observation deck,Art gallery,Landmark,Shopping mall,Tourist attraction,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Tower&query_place_id=ChIJCewJkL2LGGAR3Qmk0vCTGkg,Observation deck,"4 Chome-2-8 Shibakoen, Minato, Tokyo, Japan","東京タワー, 東京タワー通り, 芝公園四丁目, 芝公園, 港区, 東京都, 106-0041, 日本",35.6584491,139.745536,1500
Tokyo Skytree,4.4,112070,1 Chome-1-2 Oshiage,Sumida,Tokyo,JP,https://www.tokyo-skytree.jp/?utm_source=google&utm_medium=maps,+81 570-550-634,Observation deck,Tourist attraction,,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Skytree&query_place_id=ChIJ35ov0dCOGGARKvdDH7NPHX0,Observation deck,"1 Chome-1-2 Oshiage, Sumida, Tokyo, Japan","東京スカイツリー, 2, 押上一丁目, 押上, 墨田区, 東京都, 131-0045, 日本",35.7100543,139.8107141,3100
Sensō-ji,4.5,92233,2 Chome-3-1 Asakusa,Taito,Tokyo,JP,https://www.senso-ji.jp/,+81 3-3842-0181,Buddhist temple,Tourist attraction,,,,,,https://www.google.com/maps/search/?api=1&query=Sens%C5%8D-ji&query_place_id=ChIJ8T1GpMGOGGARDYGSgpooDWw,Buddhist temple,"2 Chome-3-1 Asakusa, Taito, Tokyo, Japan","金龍山 浅草寺, 1, 浅草二丁目, 浅草, 台東区, 東京都, 111-0032, 日本",35.7134032,139.7955265,0
Imperial Palace East National Gardens,4.4,9639,1-1 Chiyoda,Chiyoda,Tokyo,JP,https://www.kunaicho.go.jp/event/higashigyoen/higashigyoen.html,+81 3-3213-2050,National park,Garden,National reserve,Park,Tourist attraction,,,https://www.google.com/maps/search/?api=1&query=Imperial%20Palace%20East%20National%20Gardens&query_place_id=ChIJPfFaQhOMGGAR-QPbNQoAG6M,National park,"1-1 Chiyoda, Chiyoda, Tokyo, Japan","皇居, 1, 千代田, 千代田区, 東京都, 100-0001, 日本",35.6838467,139.7506859,0
Shinjuku Gyoen National Garden,4.6,43344,11 Naitomachi,Shinjuku,Tokyo,JP,https://www.env.go.jp/garden/shinjukugyoen/index.html,+81 3-3350-0151,Garden,Playground,State park,Tourist attraction,,,,https://www.google.com/maps/search/?api=1&query=Shinjuku%20Gyoen%20National%20Garden&query_place_id=ChIJPyOTG8KMGGARh_IXobWxHmo,Garden,"11 Naitomachi, Shinjuku, Tokyo, Japan","新宿御苑, 内藤町, 新宿区, 東京都, 160-0014, 日本",35.6850716,139.7095466,500
Tokyo Metropolitan Government Building No.1,4.5,6381,2 Chome-8-1 Nishishinjuku,Shinjuku,Tokyo,JP,https://www.metro.tokyo.lg.jp/,+81 3-5321-1111,Japanese prefecture government office,City Hall,Government office,State government office,Tourist attraction,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Metropolitan%20Government%20Building%20No.1&query_place_id=ChIJoTcat9SMGGAR6GGG8zdcZvE,Japanese prefecture government office,"2 Chome-8-1 Nishishinjuku, Shinjuku, Tokyo, Japan","西新宿歩道橋通り, 西新宿七丁目, 西新宿, 新宿区, 東京都, 160-0023, 日本",35.6944663,139.6975967,800
Shibuya Sky,4.6,23605,"Shibuya, 2 Chome−24−12 スクランブルスクエア 14階・45階 46階・屋上",Shibuya,Tokyo,JP,https://www.shibuya-scramble-square.com/sky/,+81 3-4221-0229,Observation deck,Tourist attraction,,,,,,https://www.google.com/maps/search/?api=1&query=Shibuya%20Sky&query_place_id=ChIJ4Rr2JWiLGGARcyRSHuZ-9G8,Observation deck,"Shibuya, 2 Chome−24−12 スクランブルスクエア 14階・45階 46階・屋上, Shibuya, Tokyo, Japan","Shibuya Sky, B3F, 渋谷二丁目, 渋谷, 渋谷区, 東京都, 150-0002, 日本",35.6582857,139.7022617,3400
Tokyo National Museum,4.5,29739,13-9 Uenokoen,Taito,Tokyo,JP,https://www.tnm.jp/,+81 50-5541-8600,National museum,Art museum,Museum,Tourist attraction,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20National%20Museum&query_place_id=ChIJEX3XFIOOGGAR3XdJvRjWLyM,National museum,"13-9 Uenokoen, Taito, Tokyo, Japan","東京国立博物館, 9, 上野公園, 台東区, 東京都, 110-8712, 日本",35.7190448,139.7759676,800
Yoyogi Park,4.4,26502,2-1 Yoyogikamizonocho,Shibuya,Tokyo,JP,https://www.tokyo-park.or.jp/park/yoyogi/,+81 3-3469-6081,Park,Tourist attraction,,,,,,https://www.google.com/maps/search/?api=1&query=Yoyogi%20Park&query_place_id=ChIJMwpiebSMGGARPr_454zHvDQ,Park,"2-1 Yoyogikamizonocho, Shibuya, Tokyo, Japan","代々木公園, 渋谷区, 東京都, 日本",35.6714052,139.6951667,0
Shinjuku Golden-Gai,4.3,12291,"Kabukicho, 1 Chome−1−6 あかるい花園 五番街",Shinjuku,Tokyo,JP,http://goldengai.jp/,+81 3-3209-6418,Tourist attraction,Bar,Business park,Ramen restaurant,,,,https://www.google.com/maps/search/?api=1&query=Shinjuku%20Golden-Gai&query_place_id=ChIJr7mGZdmMGGARjxoMFeHApXE,Tourist attraction,"Kabukicho, 1 Chome−1−6 あかるい花園 五番街, Shinjuku, Tokyo, Japan","新宿ゴールデン街, あかるい花園八番街, 歌舞伎町一丁目, 歌舞伎町, 新宿区, 東京都, 160-0021, 日本",35.6939905,139.7047001,0
