"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","url","categoryName"
"Tokyo Tower","4.5","94176","4 Chome-2-8 Shibakoen","Minato City","Tokyo","JP","https://www.tokyotower.co.jp/","+81 3-3433-5111","Observation deck","Art gallery","Landmark","Shopping mall","Tourist attraction",,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Tower&query_place_id=ChIJCewJkL2LGGAR3Qmk0vCTGkg","Observation deck"
"Tokyo Skytree","4.4","112070","1 Chome-1-2 Oshiage","Sumida City","Tokyo","JP","https://www.tokyo-skytree.jp/?utm_source=google&utm_medium=maps","+81 570-550-634","Observation deck","Tourist attraction",,,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Skytree&query_place_id=ChIJ35ov0dCOGGARKvdDH7NPHX0","Observation deck"
"Sensō-ji","4.5","92233","2 Chome-3-1 Asakusa","Taito City","Tokyo","JP","https://www.senso-ji.jp/","+81 3-3842-0181","Buddhist temple","Tourist attraction",,,,,,"https://www.google.com/maps/search/?api=1&query=Sens%C5%8D-ji&query_place_id=ChIJ8T1GpMGOGGARDYGSgpooDWw","Buddhist temple"
"Imperial Palace East National Gardens","4.4","9639","1-1 Chiyoda","Chiyoda City","Tokyo","JP","https://www.kunaicho.go.jp/event/higashigyoen/higashigyoen.html","+81 3-3213-2050","National park","Garden","National reserve","Park","Tourist attraction",,,"https://www.google.com/maps/search/?api=1&query=Imperial%20Palace%20East%20National%20Gardens&query_place_id=ChIJPfFaQhOMGGAR-QPbNQoAG6M","National park"
"Shinjuku Gyoen National Garden","4.6","43344","11 Naitomachi","Shinjuku City","Tokyo","JP","https://www.env.go.jp/garden/shinjukugyoen/index.html","+81 3-3350-0151","Garden","Playground","State park","Tourist attraction",,,,"https://www.google.com/maps/search/?api=1&query=Shinjuku%20Gyoen%20National%20Garden&query_place_id=ChIJPyOTG8KMGGARh_IXobWxHmo","Garden"
"Tokyo Metropolitan Government Building No.1","4.5","6381","2 Chome-8-1 Nishishinjuku","Shinjuku City","Tokyo","JP","https://www.metro.tokyo.lg.jp/","+81 3-5321-1111","Japanese prefecture government office","City Hall","Government office","State government office","Tourist attraction",,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Metropolitan%20Government%20Building%20No.1&query_place_id=ChIJoTcat9SMGGAR6GGG8zdcZvE","Japanese prefecture government office"
"Shibuya Sky","4.6","23605","Shibuya, 2 Chome−24−12 スクランブルスクエア 14階・45階 46階・屋上","Shibuya","Tokyo","JP","https://www.shibuya-scramble-square.com/sky/","+81 3-4221-0229","Observation deck","Tourist attraction",,,,,,"https://www.google.com/maps/search/?api=1&query=Shibuya%20Sky&query_place_id=ChIJ4Rr2JWiLGGARcyRSHuZ-9G8","Observation deck"
"Tokyo National Museum","4.5","29739","13-9 Uenokoen","Taito City","Tokyo","JP","https://www.tnm.jp/","+81 50-5541-8600","National museum","Art museum","Museum","Tourist attraction",,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20National%20Museum&query_place_id=ChIJEX3XFIOOGGAR3XdJvRjWLyM","National museum"
"Yoyogi Park","4.4","26502","2-1 Yoyogikamizonocho","Shibuya","Tokyo","JP","https://www.tokyo-park.or.jp/park/yoyogi/","+81 3-3469-6081","Park","Tourist attraction",,,,,,"https://www.google.com/maps/search/?api=1&query=Yoyogi%20Park&query_place_id=ChIJMwpiebSMGGARPr_454zHvDQ","Park"
"Shinjuku Golden-Gai","4.3","12291","Kabukicho, 1 Chome−1−6 あかるい花園 五番街","Shinjuku City","Tokyo","JP","http://goldengai.jp/","+81 3-3209-6418","Tourist attraction","Bar","Business park","Ramen restaurant",,,,"https://www.google.com/maps/search/?api=1&query=Shinjuku%20Golden-Gai&query_place_id=ChIJr7mGZdmMGGARjxoMFeHApXE","Tourist attraction"
"Omoide Yokocho Memory Lane","4.2","14239","1 Chome-2 Nishishinjuku","Shinjuku City","Tokyo","JP","http://shinjuku-omoide.com/",,"Tourist attraction","Business park","Restaurant",,,,,"https://www.google.com/maps/search/?api=1&query=Omoide%20Yokocho%20Memory%20Lane&query_place_id=ChIJP9eKBdeMGGAR0zzBXJNVj5A","Tourist attraction"
